# Capture histories exported from 'ms.ch' 
# Mon Apr 05 7:09:37 AM 2021 
# Session ID Occasion Detector Sex 
HiP_2016 Leopard_African_Female_2_3 1 HiP_2016_Station8 1
HiP_2016 Leopard_African_Female_2_3 1 HiP_2016_Station8 1
HiP_2016 Leopard_African_Female_2_32 1 HiP_2016_Station15 1
HiP_2016 Leopard_African_Female_2_32 1 HiP_2016_Station20 1
HiP_2016 Leopard_African_Female_2_35 1 HiP_2016_Station17 1
HiP_2016 Leopard_African_Female_2_35 1 HiP_2016_Station17 1
HiP_2016 Leopard_African_Female_2_35 1 HiP_2016_Station17 1
HiP_2016 Leopard_African_Female_2_36 1 HiP_2016_Station26 1
HiP_2016 Leopard_African_Female_2_36 1 HiP_2016_Station26 1
HiP_2016 Leopard_African_Female_2_36 1 HiP_2016_Station5 1
HiP_2016 Leopard_African_Female_2_38 1 HiP_2016_Station19 1
HiP_2016 Leopard_African_Female_2_4 1 HiP_2016_Station13 1
HiP_2016 Leopard_African_Female_2_4 1 HiP_2016_Station14 1
HiP_2016 Leopard_African_Female_2_50 1 HiP_2016_Station29 1
HiP_2016 Leopard_African_Female_2_50 1 HiP_2016_Station29 1
HiP_2016 Leopard_African_Female_2_50 1 HiP_2016_Station31 1
HiP_2016 Leopard_African_Female_2_50 1 HiP_2016_Station39 1
HiP_2016 Leopard_African_Female_2_57 1 HiP_2016_Station32 1
HiP_2016 Leopard_African_Female_2_73 1 HiP_2016_Station34 1
HiP_2016 Leopard_African_Female_2_89 1 HiP_2016_Station4 1
HiP_2016 Leopard_African_Male_2_16 1 HiP_2016_Station1 2
HiP_2016 Leopard_African_Male_2_16 1 HiP_2016_Station1 2
HiP_2016 Leopard_African_Male_2_16 1 HiP_2016_Station1 2
HiP_2016 Leopard_African_Male_2_17 1 HiP_2016_Station11 2
HiP_2016 Leopard_African_Male_2_17 1 HiP_2016_Station11 2
HiP_2016 Leopard_African_Male_2_17 1 HiP_2016_Station16 2
HiP_2016 Leopard_African_Male_2_17 1 HiP_2016_Station17 2
HiP_2016 Leopard_African_Male_2_2 1 HiP_2016_Station13 2
HiP_2016 Leopard_African_Male_2_2 1 HiP_2016_Station14 2
HiP_2016 Leopard_African_Male_2_2 1 HiP_2016_Station8 2
HiP_2016 Leopard_African_Male_2_2 1 HiP_2016_Station9 2
HiP_2016 Leopard_African_Male_2_2 1 HiP_2016_Station9 2
HiP_2016 Leopard_African_Male_2_2 1 HiP_2016_Station9 2
HiP_2016 Leopard_African_Male_2_24 1 HiP_2016_Station14 2
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station10 2
